type,source,episodes,status,airing,rating,score,scored_by,popularity,members,genre
Movie,Original,1,FinishedAiring,FALSE,G-AllAges,4.2,244,9730,445,Comedy
OVA,Manga,2,FinishedAiring,FALSE,PG-13-Teens13orolder,7.77,34252,1245,65495,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.14,54,10857,243,Adventure
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.5,48992,821,105762,"Action,Sci-Fi,Seinen"
TV,Original,25,FinishedAiring,FALSE,PG-13-Teens13orolder,6.47,855,5092,4497,"Music,Comedy"
OVA,Manga,1,FinishedAiring,FALSE,Rx-Hentai,6.49,682,7015,1872,Hentai
TV,Unknown,13,FinishedAiring,FALSE,G-AllAges,6.81,48,10404,311,"SliceofLife,Comedy,School"
Special,Unknown,1,FinishedAiring,FALSE,PG-Children,6.84,265,8833,737,"Sci-Fi,Adventure,Comedy,Kids,Shounen"
Movie,Picturebook,1,FinishedAiring,FALSE,PG-13-Teens13orolder,7.17,2361,4822,5161,"Adventure,Drama,Fantasy"
OVA,Unknown,1,FinishedAiring,FALSE,R+-MildNudity,5.13,3115,4815,5168,"Mecha,Military,Sci-Fi"
TV,Original,22,FinishedAiring,FALSE,R-17+(violence&profanity),7.69,74531,347,214467,"Action,Sci-Fi,Fantasy"
Movie,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.12,1466,5670,3423,"Action,Adventure,Fantasy,Magic,Supernatural"
Music,Music,1,FinishedAiring,FALSE,G-AllAges,4.7,75,12390,129,Music
TV,Manga,42,FinishedAiring,FALSE,PG-13-Teens13orolder,7.42,18254,1730,41792,"Action,Adventure,MartialArts,Shounen,SuperPower"
OVA,Game,1,FinishedAiring,FALSE,PG-13-Teens13orolder,5.63,135,9763,438,"Action,Sci-Fi,Space,Comedy,Romance,Fantasy"
TV,Novel,13,FinishedAiring,FALSE,PG-13-Teens13orolder,8.02,94024,367,203942,"Music,School,Drama"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,8.85,14981,1724,42265,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen"
TV,Original,26,FinishedAiring,FALSE,PG-13-Teens13orolder,6.06,476,4956,4777,"Adventure,Samurai,Fantasy"
ONA,Original,1,FinishedAiring,FALSE,G-AllAges,4.03,36,13009,100,
TV,Unknown,25,FinishedAiring,FALSE,PG-13-Teens13orolder,6.49,113,8990,680,"Action,Adventure,Sci-Fi"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.27,34590,1035,80620,"Comedy,Seinen,SliceofLife"
Special,Original,1,FinishedAiring,FALSE,G-AllAges,5,16,14097,40,SliceofLife
TV,Other,141,FinishedAiring,FALSE,G-AllAges,6.66,38,10281,334,"Comedy,SliceofLife"
Special,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,7.35,5239,3379,12252,"Comedy,Sports,School,Shounen"
Special,Original,1,FinishedAiring,FALSE,G-AllAges,7.5,18944,1904,36029,"SliceofLife,School"
Special,Manga,2,FinishedAiring,FALSE,PG-13-Teens13orolder,7.7,2401,4512,6066,"Drama,School"
OVA,Manga,2,Notyetaired,FALSE,PG-13-Teens13orolder,0,1,3975,8329,"Drama,Romance,School"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,6.16,86,10402,311,"Fantasy,Shounen"
TV,Original,0,Notyetaired,FALSE,None,0,0,7948,1180,"Drama,Music,Romance"
Special,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.24,220,8265,1004,"Drama,Mecha,Military,Sci-Fi,Shounen,Space"
TV,Unknown,25,FinishedAiring,FALSE,G-AllAges,6.5,308,7605,1399,"Comedy,School"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,7.17,6,13378,82,Kids
TV,Cardgame,12,FinishedAiring,FALSE,R-17+(violence&profanity),7.36,44138,856,101587,"Game,Psychological"
Music,Music,1,FinishedAiring,FALSE,G-AllAges,5.68,106,11421,186,Music
TV,Manga,12,FinishedAiring,FALSE,R+-MildNudity,6.28,8677,2624,20817,"Comedy,Ecchi,School,Seinen,ShoujoAi"
Special,Unknown,2,FinishedAiring,FALSE,PG-13-Teens13orolder,6.61,433,8070,1118,"Action,Adventure,Comedy,Mecha,Sci-Fi,Seinen"
TV,Manga,119,FinishedAiring,FALSE,G-AllAges,6.05,50,11377,189,"Comedy,SuperPower"
Movie,Manga,1,FinishedAiring,FALSE,PG-13-Teens13orolder,7.94,20831,1690,43396,"Comedy,Seinen,SliceofLife"
OVA,Visualnovel,4,FinishedAiring,FALSE,Rx-Hentai,6.58,2750,4312,6747,Hentai
OVA,Other,22,FinishedAiring,FALSE,R-17+(violence&profanity),7.12,6103,2509,22360,"Action,Demons,Horror,Supernatural"
OVA,Visualnovel,2,FinishedAiring,FALSE,Rx-Hentai,6.81,2481,4672,5597,Hentai
Special,Manga,1,FinishedAiring,FALSE,PG-13-Teens13orolder,5.97,318,8226,1027,"Action,Drama,Fantasy,Sci-Fi,Space"
OVA,Manga,2,FinishedAiring,FALSE,Rx-Hentai,6.34,942,6123,2803,Hentai
TV,Manga,12,FinishedAiring,FALSE,R-17+(violence&profanity),7.73,32925,1064,77826,"Mystery,Police,Drama,Fantasy,Seinen"
OVA,Unknown,2,FinishedAiring,FALSE,PG-13-Teens13orolder,6.48,88,9896,406,"Drama,Sci-Fi,Shounen,Sports"
OVA,Unknown,2,FinishedAiring,FALSE,PG-13-Teens13orolder,5.13,23,11653,168,"Action,Comedy,Mecha,Parody,Sci-Fi"
TV,Unknown,39,FinishedAiring,FALSE,G-AllAges,6.49,83,9959,394,"Comedy,Fantasy"
OVA,Unknown,1,FinishedAiring,FALSE,G-AllAges,5.91,11,13330,84,Kids
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.2,27215,1135,72634,"Adventure,Mystery,Seinen"
TV,Webmanga,13,FinishedAiring,FALSE,G-AllAges,6.84,1228,5286,4052,"Comedy,Kids"
TV,Lightnovel,26,FinishedAiring,FALSE,PG-13-Teens13orolder,7.85,42588,949,89198,"Adventure,Comedy,Demons,Magic,Fantasy"
TV,Original,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.01,25496,1133,72747,Sci-Fi
TV,Manga,131,FinishedAiring,FALSE,PG-13-Teens13orolder,7.78,102780,278,250101,"Action,Adventure,Comedy,Fantasy,MartialArts,Shounen,SuperPower"
Special,Unknown,4,FinishedAiring,FALSE,R-17+(violence&profanity),6.92,1668,4881,4981,"Comedy,Parody,SliceofLife"
TV,Unknown,12,FinishedAiring,FALSE,PG-13-Teens13orolder,6.28,131,7949,1178,"Action,Comedy,Historical,Military,Samurai"
TV,Unknown,6,FinishedAiring,FALSE,G-AllAges,6,8,13509,76,"Adventure,Kids"
TV,Manga,12,FinishedAiring,FALSE,G-AllAges,6.82,14762,1842,37639,"Adventure,SliceofLife,Comedy"
OVA,Visualnovel,4,FinishedAiring,FALSE,Rx-Hentai,7.56,6748,3031,15385,"Action,Fantasy,Hentai"
TV,Original,12,FinishedAiring,FALSE,R-17+(violence&profanity),7.71,33779,922,92722,"Action,Mystery,Historical"
TV,Manga,12,FinishedAiring,FALSE,G-AllAges,6.78,11034,2572,21460,"Comedy,Supernatural,Vampire"
OVA,Visualnovel,1,FinishedAiring,FALSE,G-AllAges,6.57,579,7323,1599,Music
TV,Original,25,FinishedAiring,FALSE,R-17+(violence&profanity),7,3288,3394,12136,"Supernatural,Demons,Historical"
Movie,Original,1,FinishedAiring,FALSE,G-AllAges,5.85,13,13488,77,"Adventure,Fantasy,Kids,Magic,MartialArts"
TV,Game,25,FinishedAiring,FALSE,PG-13-Teens13orolder,7.63,76059,479,167555,"Sci-Fi,Adventure,Mystery,SuperPower,Supernatural,School"
Movie,Visualnovel,1,FinishedAiring,FALSE,PG-13-Teens13orolder,7.53,77292,609,136486,"Action,Fantasy,Magic,Supernatural"
OVA,Unknown,2,FinishedAiring,FALSE,R-17+(violence&profanity),6,18,11348,190,"Action,Comedy,School,Shounen"
OVA,Manga,1,FinishedAiring,FALSE,Rx-Hentai,6.26,876,6576,2284,Hentai
ONA,Game,13,FinishedAiring,FALSE,PG-13-Teens13orolder,6.56,9,13479,77,"Action,Adventure,Fantasy,Historical,Magic"
OVA,Visualnovel,3,FinishedAiring,FALSE,Rx-Hentai,6.09,603,7245,1667,"Action,Drama,Hentai,Horror,Mystery,Police,Romance,Sci-Fi"
Special,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,7.13,1192,5892,3091,"Action,Adventure,Comedy,Seinen"
Unknown,Manga,0,Notyetaired,FALSE,R-17+(violence&profanity),0,0,4601,5801,"Action,Sci-Fi,Space,Mecha,Seinen"
Movie,Unknown,1,FinishedAiring,FALSE,G-AllAges,4.89,122,10677,268,"Sports,Comedy"
OVA,Manga,6,FinishedAiring,FALSE,G-AllAges,5.43,14,10531,291,"Mystery,Shoujo"
Special,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.1,112,9372,543,"Comedy,Historical,Seinen"
TV,Manga,175,FinishedAiring,FALSE,PG-13-Teens13orolder,8.08,423745,19,818652,"Action,Adventure,Comedy,Magic,Fantasy,Shounen"
TV,Other,26,FinishedAiring,FALSE,PG-Children,5.09,34,7208,1699,"Action,SuperPower,Kids"
OVA,Unknown,1,FinishedAiring,FALSE,PG-13-Teens13orolder,5.75,8,12027,144,"Romance,Seinen"
TV,Webmanga,14,FinishedAiring,FALSE,PG-13-Teens13orolder,6.93,10578,2514,22259,"Comedy,Josei,SliceofLife"
OVA,Visualnovel,1,FinishedAiring,FALSE,Rx-Hentai,7.5,6175,3193,14009,Hentai
OVA,Visualnovel,1,FinishedAiring,FALSE,Rx-Hentai,6.85,1016,5915,3062,Hentai
OVA,Visualnovel,2,FinishedAiring,FALSE,Rx-Hentai,6.12,417,7256,1658,Hentai
OVA,Original,0,CurrentlyAiring,TRUE,Rx-Hentai,7.5,30,12819,112,Hentai
Special,Manga,2,FinishedAiring,FALSE,PG-13-Teens13orolder,7.18,1708,4616,5737,"Comedy,Parody,School"
TV,Lightnovel,12,FinishedAiring,FALSE,R+-MildNudity,5.66,6457,2460,23317,"Comedy,Ecchi,Fantasy"
OVA,Manga,3,FinishedAiring,FALSE,Rx-Hentai,6.77,2359,4719,5438,Hentai
TV,Original,13,FinishedAiring,FALSE,PG-Children,5.62,2571,4141,7543,Comedy
OVA,Manga,2,FinishedAiring,FALSE,Rx-Hentai,5.97,1918,5148,4375,Hentai
TV,Original,26,FinishedAiring,FALSE,G-AllAges,5.67,6,12327,131,"Action,Sci-Fi,Kids,Mecha"
TV,Original,12,FinishedAiring,FALSE,R+-MildNudity,6.87,23159,1601,46881,"Sci-Fi,Comedy,Drama,Magic,Romance,Ecchi"
TV,Game,4,FinishedAiring,FALSE,PG-13-Teens13orolder,5.72,4795,3880,8804,SliceofLife
Music,Game,1,FinishedAiring,FALSE,G-AllAges,7.12,407,8766,771,Music
OVA,Original,2,FinishedAiring,FALSE,Rx-Hentai,6.72,9503,2820,17853,"Action,Comedy,Hentai,Sci-Fi"
