anime_id,title,type,source,status,rating,score,rank,popularity,genre
36239,Sono Me ga Mitsumeru Mono,ONA,Other,Finished Airing,G - All Ages,5.44,8484,6328,"Fantasy, Shounen"
36240,Scratch x One Piece Film: Gold,Special,Other,Finished Airing,G - All Ages,5.89,7601,7063,"Fantasy, Shounen"
36241,One Piece Film: Gold - Cine Mike Popcorn Kokuchi,Special,Other,Finished Airing,G - All Ages,6.07,7184,7011,"Fantasy, Shounen"
36242,TOHO Cinemas x One Piece Film: Gold - Tokubetsu Eizou,ONA,Other,Finished Airing,G - All Ages,5.99,7384,7415,"Fantasy, Shounen"
36245,Evil or Live,TV,Web manga,Finished Airing,R - 17+ (violence & profanity),5.99,7364,1881,"Psychological, School"
36246,Monsuto Anime: Kieyuku Uchuu-hen,ONA,Game,Finished Airing,PG - Children,6.42,5931,6777,"Action, Fantasy, Game"
36248,Don&#039;t Cry,Music,Manga,Finished Airing,G - All Ages,5.73,9996,13127,"Music, Slice of Life, School, Seinen"
36249,Kyak Kyak Kyak Flamenco,Music,Original,Finished Airing,G - All Ages,4.24,11031,13984,Music
36250,Baka to Test to Shoukanjuu Mini Anime,Special,Light novel,Finished Airing,PG-13 - Teens 13 or older,6.82,4228,4146,"Comedy, School, Super Power"
36252,Library Cross Infinite,TV,Game,Not yet aired,None,0,0,9528,"Game, Romance"
36254,Jukujo Shigan,OVA,Original,Currently Airing,Rx - Hentai,5.8,0,8520,Hentai
36256,Katainaka ni Totsuidekita ○-ssia Musume to H Shimakuru Ohanashi,OVA,Digital manga,Currently Airing,Rx - Hentai,7.12,0,6140,Hentai
36259,Pingu in the City,TV,Other,Finished Airing,G - All Ages,8.66,56,2546,"Slice of Life, Comedy, Kids"
36261,Daiyoshi P Produce Ashita no Jobuubu,ONA,Original,Finished Airing,G - All Ages,4.81,9944,13467,"Slice of Life, Comedy, Parody"
36264,Drive Car,Music,Music,Finished Airing,G - All Ages,4.37,10031,13808,"Dementia, Music"
36265,Sylvanian Families: Mini Story,TV,Game,Finished Airing,G - All Ages,4.6,12315,12881,"Kids, Slice of Life"
36266,Mahou Shoujo Site,TV,Manga,Currently Airing,R - 17+ (violence & profanity),6.47,5723,1404,"Drama, Horror, Psychological, Supernatural"
36267,Uchuu Senkan Tiramisù,TV,Web manga,Currently Airing,PG-13 - Teens 13 or older,6.08,7161,3414,"Sci-Fi, Slice of Life, Space, Comedy, Mecha, Seinen"
36269,Detective Conan: Anti-Crime Guide,OVA,Other,Finished Airing,G - All Ages,6.85,4100,8340,Kids
36270,Minna no Jouhou Moral,OVA,Original,Finished Airing,PG-13 - Teens 13 or older,5,11315,14413,"Kids, School"
36271,Yuukai Boushi Animation Eiga: Akazukin-chan Chanto Check,OVA,Original,Finished Airing,G - All Ages,4,12856,14386,Kids
36272,Manichi ga Tsurai Kimochi Wakarimasu ka: Yurusenai! Net Ijime,OVA,Original,Finished Airing,G - All Ages,10,11178,14276,Kids
36273,Mimi-chan no Te to Te to Te,OVA,Original,Finished Airing,G - All Ages,1,11293,14397,"Kids, Drama"
36274,Nyani ga Nyandaa Nyandaa Kamen no Yuukai Boushi: Miiko-chan Chanto Check!!,OVA,Original,Finished Airing,G - All Ages,5,11548,14185,Kids
36275,Natsume Yuujinchou Roku Specials,Special,Manga,Finished Airing,PG-13 - Teens 13 or older,8.47,122,3294,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
36278,Gokiburi Hime,ONA,Original,Finished Airing,G - All Ages,4.71,10249,12935,Sci-Fi
36279,The Curlydog Story,Special,Original,Finished Airing,G - All Ages,4.7,12414,13492,Kids
36280,Usatalk,ONA,Original,Finished Airing,G - All Ages,4.72,9257,12719,Dementia
36281,Lilt,ONA,Original,Finished Airing,G - All Ages,3.75,11077,13602,Music
36286,Re:Zero kara Hajimeru Isekai Seikatsu: Memory Snow,OVA,Light novel,Not yet aired,None,0,0,1569,"Psychological, Drama, Thriller, Fantasy"
36288,Glamorous Heroes,TV,Game,Finished Airing,PG-13 - Teens 13 or older,5.05,8993,6202,"Action, Game"
36289,Daybreak Interlude,Music,Game,Finished Airing,G - All Ages,7.12,3114,8766,Music
36291,Ling Yu,ONA,Novel,Finished Airing,PG-13 - Teens 13 or older,6.74,4585,8584,Fantasy
36292,Apron Hero,Music,Original,Finished Airing,G - All Ages,3.93,9637,14093,"Music, Kids"
36293,Uchuu no Uta,Music,Original,Finished Airing,G - All Ages,3.83,12551,13945,"Music, Space"
36294,Kana Kana ka na,Music,Original,Finished Airing,G - All Ages,4.43,10754,14293,Music
36296,Hinamatsuri,TV,Manga,Currently Airing,PG-13 - Teens 13 or older,8.05,508,1083,"Sci-Fi, Slice of Life, Comedy, Supernatural, Seinen"
36297,Hachigatsu no Cinderella Nine,ONA,Game,Finished Airing,G - All Ages,5.5,8371,10706,"Music, Sports"
36299,Oniichan ni Natchatta,Music,Original,Finished Airing,G - All Ages,2.75,11624,14299,Music
36300,Oniichan Zurui,Music,Original,Finished Airing,G - All Ages,3,11625,14300,Music
36301,Oyama no Taishou,Music,Original,Finished Airing,G - All Ages,2.75,11692,14264,Music
36302,Candy no Yume,Music,Original,Finished Airing,G - All Ages,4.16,9791,13858,"Music, Kids"
36305,Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai - Kinyoubi no Ohayou,Special,Music,Finished Airing,PG - Children,7.03,3480,4884,"Romance, School"
36308,Blade Runner: Black Out 2022,ONA,Other,Finished Airing,R - 17+ (violence & profanity),7.08,3252,3189,"Sci-Fi, Thriller"
36309,Butlers: Chitose Momotose Monogatari,TV,Original,Currently Airing,PG-13 - Teens 13 or older,5.75,7899,3265,"Comedy, School, Supernatural"
36310,Gomen ne Chitchi,OVA,Original,Finished Airing,G - All Ages,1,10256,14308,Kids
36311,Mirai Shouboushi Kyuuta,OVA,Original,Finished Airing,G - All Ages,1,11330,14420,Kids
36312,Nyanpara no Nakama-tachi,OVA,Original,Finished Airing,G - All Ages,1,11591,14313,Kids
36313,Shouka Robo Zeres: Fire Dragon wo Taose!,OVA,Original,Finished Airing,G - All Ages,1,12168,14381,"Kids, Mecha, Sci-Fi"
36314,Honou no Senshi: Firegirl,OVA,Original,Finished Airing,G - All Ages,4.5,10538,14392,"Kids, Sci-Fi"
36315,Mushi Mushi Mura no Nakama-tachi: Minna Ii Toko Arun Da yo,OVA,Original,Finished Airing,G - All Ages,7,11396,14191,Kids
